route_id,route_short_name,route_long_name,route_desc,route_type,route_url
221-256,221,,,3,http://www.octranspo.com/images/files/routes/221map.gif
222-256,222,,,3,http://www.octranspo.com/images/files/routes/222map.gif
224-256,224,,,3,http://www.octranspo.com/images/files/routes/224map.gif
228-256,228,,,3,http://www.octranspo.com/images/files/routes/228map.gif
231-256,231,,,3,http://www.octranspo.com/images/files/routes/231map.gif
232-256,232,,,3,http://www.octranspo.com/images/files/routes/232map.gif
233-256,233,,,3,http://www.octranspo.com/images/files/routes/233map.gif
234-256,234,,,3,http://www.octranspo.com/images/files/routes/234map.gif
235-256,235,,,3,http://www.octranspo.com/images/files/routes/235map.gif
237-256,237,,,3,http://www.octranspo.com/images/files/routes/237map.gif
252-256,252,,,3,http://www.octranspo.com/images/files/routes/252map.gif
256-256,256,,,3,http://www.octranspo.com/images/files/routes/256map.gif
261-256,261,,,3,http://www.octranspo.com/images/files/routes/261map.gif
262-256,262,,,3,http://www.octranspo.com/images/files/routes/262map.gif
263-256,263,,,3,http://www.octranspo.com/images/files/routes/263map.gif
264-256,264,,,3,http://www.octranspo.com/images/files/routes/264map.gif
265-256,265,,,3,http://www.octranspo.com/images/files/routes/265map.gif
267-256,267,,,3,http://www.octranspo.com/images/files/routes/267map.gif
268-256,268,,,3,http://www.octranspo.com/images/files/routes/268map.gif
269-256,269,,,3,http://www.octranspo.com/images/files/routes/269map.gif
270-256,270,,,3,http://www.octranspo.com/images/files/routes/270map.gif
271-256,271,,,3,http://www.octranspo.com/images/files/routes/271map.gif
272-256,272,,,3,http://www.octranspo.com/images/files/routes/272map.gif
273-256,273,,,3,http://www.octranspo.com/images/files/routes/273map.gif
277-256,277,,,3,http://www.octranspo.com/images/files/routes/277map.gif
282-256,282,,,3,http://www.octranspo.com/images/files/routes/282map.gif
283-256,283,,,3,http://www.octranspo.com/images/files/routes/283map.gif
290-256,290,,,3,http://www.octranspo.com/images/files/routes/290map.gif
293-256,293,,,3,http://www.octranspo.com/images/files/routes/293map.gif
298-256,298,,,3,http://www.octranspo.com/images/files/routes/298map.gif
301-256,301,,,3,http://www.octranspo.com/images/files/routes/301map.gif
302-256,302,,,3,http://www.octranspo.com/images/files/routes/302map.gif
303-256,303,,,3,http://www.octranspo.com/images/files/routes/303map.gif
304-256,304,,,3,http://www.octranspo.com/images/files/routes/304map.gif
305-256,305,,,3,http://www.octranspo.com/images/files/routes/305map.gif
401-216,401,,,3,http://www.octranspo.com/images/files/routes/401map.gif
402-216,402,,,3,http://www.octranspo.com/images/files/routes/401map.gif
403-216,403,,,3,http://www.octranspo.com/images/files/routes/401map.gif
404-216,404,,,3,http://www.octranspo.com/images/files/routes/401map.gif
405-216,405,,,3,http://www.octranspo.com/images/files/routes/401map.gif
406-216,406,,,3,http://www.octranspo.com/images/files/routes/401map.gif
505-256,SNOW,,,3,NULL
602-256,602,,,3,http://www.octranspo.com/images/files/routes/602map.gif
611-256,611,,,3,http://www.octranspo.com/images/files/routes/611map.gif
612-256,612,,,3,http://www.octranspo.com/images/files/routes/612map.gif
613-256,613,,,3,http://www.octranspo.com/images/files/routes/613map.gif
618-256,618,,,3,http://www.octranspo.com/images/files/routes/618map.gif
619-256,619,,,3,http://www.octranspo.com/images/files/routes/619map.gif
622-256,622,,,3,http://www.octranspo.com/images/files/routes/622map.gif
630-256,630,,,3,http://www.octranspo.com/images/files/routes/630map.gif
632-256,632,,,3,http://www.octranspo.com/images/files/routes/632map.gif
633-256,633,,,3,http://www.octranspo.com/images/files/routes/633map.gif
640-256,640,,,3,http://www.octranspo.com/images/files/routes/640map.gif
641-256,641,,,3,http://www.octranspo.com/images/files/routes/641map.gif
644-256,644,,,3,http://www.octranspo.com/images/files/routes/644map.gif
648-256,648,,,3,http://www.octranspo.com/images/files/routes/648map.gif
649-256,649,,,3,http://www.octranspo.com/images/files/routes/649map.gif
660-256,660,,,3,http://www.octranspo.com/images/files/routes/660map.gif
661-256,661,,,3,http://www.octranspo.com/images/files/routes/661map.gif
665-256,665,,,3,http://www.octranspo.com/images/files/routes/665map.gif
669-256,669,,,3,http://www.octranspo.com/images/files/routes/669map.gif
670-256,670,,,3,http://www.octranspo.com/images/files/routes/670map.gif
674-256,674,,,3,http://www.octranspo.com/images/files/routes/674map.gif
678-256,678,,,3,http://www.octranspo.com/images/files/routes/678map.gif
681-256,681,,,3,http://www.octranspo.com/images/files/routes/681map.gif
691-256,691,,,3,http://www.octranspo.com/images/files/routes/691map.gif
698-256,698,,,3,http://www.octranspo.com/images/files/routes/698map.gif
750-256,OTrn,,,2,http://www.octranspo.com/images/files/routes/750map.gif
